"","text"
"2243","battery  drain   rapid rate   monthswont even last   hours  captures  much  surrounding sound    big  wont suggest  product "
"2244"," recently purchased  product started using    battery gets totally     hrs     able  listen songs   half day  worth "
"2245","ideal device  working   good quality product amazing noise cancellation great battery life  specified h overall gets   star    "
"2246","using  last  days sound awesome bass n trable  battery backup awesome call quality good build quality  good nice connectivity "
"2247","speaker  good mike  avg quality battery life  good "
"2248","superb sound quality "
"2249"," good "
"2250","good buy  rs wire  noticeably thick  neckband  actually bigger    shown  picturebass  goodvolume  also good "
"2251","sound quality  ok  cannot expect like  earphones   price "
"2252","best earphone   price range  sound quality  good    better  noice cancellation  also got better battery backup worth  money "
"2253","  awesome must buy bass n clearitiy omg u  feel  n everything "
"2254","  nice   budget  sound quality   good   product dont last    months   normal use "
"2255","descent quality bluetooth earphones bass   deep   may overshadow  sounds excellent noise cancellation overall good performance value  money "
"2256","overall  better headset   price tag   brought   built quality sound qualityconnectivitybattery "
"2257","absolutely wasteyou cannot use  application  keep  making  beep noises  scrolling   social media   cant turn   "
"2258","giving  three stars     able  take calls using  earphone  compatible  oneplust  calling rest sound  good "
"2259","good "
"2260","sound  good  compared  jbl  others bass  excellent  treble  punching parallel   bass  must buy    k "
"2261","nice product working excellent  past  month battery life    little better "
"2262"," good "
"2263","boat   asmjust go  itsuperb soundasm bassi love  head phoneother informedcontc "
"2264","nice    recommend  jbl  adding rs      price    best product available  market "
"2265"," nice product "
"2266"," expected  clarity  musicproduct   recommended   pricerupees earphones  performing better  thisi strongly recommend   use "
"2267","sound quality  bass  good average battery life received  product  time   package    good  expected "
"2268","boat always rockfast deliveryweight lessgud bassvoice clarity gudbudget wise gud "
"2269","totally satisfied   purchase "
"2270"," product start malfunctioning within  month one side stopped working  boat support team took    days  replace  product "
"2271","although    good product especially   price  considered  even  smallest eartip comes  easily  wish   extra small earbuds "
"2272","ok "
"2273","excellent "
"2274","go     rs "
"2275","awesome sound quality "
"2276","   days    using  superb sound quality     say currently "
"2277","product  asm  battery life   good   buy    overall   worth   price "
"2278","best sound qualitybattery life     hrs actuallycable quality  good "
"2279","  spent    product    good product   price bass  good sound quality   bit inferior   bass overall satisfied   product "
"2280","excellent bluetooth earphone  worth buying   pricebut   unable  connect    devicecan  let  know   connect    devices "
"2281","range   issue otherwise  great   price pointrange  till  next roomby  time  reach  third room  glitches quite  noof times "
"2282","best product  rs    like   flexibilitybut  doesnt  next song buttonoverall   satisfiedthanks boat thanks amazon "
"2283","overall  product   good specially bass superb   purchased  week ago   seeing  performance   recommended  fr even  hv purchased "
"2284"," good productbut  lowed volume mediumnot highbase  good   highover   price range    good  "
"2285","bass  awesome  sound quality slightly less  expected otherwise overall product  good   price range  worth buying  "
"2286","okayish "
"2287","overall product  good    sound quality  awesome one thing   bass lover  love    reduces  volume  vocals  playing bass "
"2288","awesome product sound  sooooooooo good bass  awesome  loud "
"2289","auto disconnect  auto connect  battery reaches    stage    works ok "
"2290","good "
"2291"," earphone gets discharged  quickly less   minutes faulty product "
"2292","sound quality  amazing within  price range bass  awsome battery also stays good enough may run upto  hours  music "
"2293"," giving  sense  sound  jblboat bt earphones r  better   old jbl bt earphones "
"2294"," ok kind  product disturbs  walkingsound   clear "
"2295","sound quality  good   one day  use  turns   charger plugged   shows  charged "
"2296","   rd boat product  fully satisfied   sound quality  good   still checking battery life     early  comment    fit perfect "
"2297"," earphones  good  daily basisgood  take phone callsbut  pubg  mic   working wellour voice   heard  others   low "
"2298","everything  good    month use suddenly one   earphone  right ear stopped working  possible please help     contact "
"2299"," ok ok ptoductsound quality  talking  phone    good "
"2300","sound quality   good  could   louder standby time  great "
"2301","everything  fine    mic    speak louder  keep  mic near   mouthbattery backup  good bass  amazing "
